lead_I,lead_II,lead_III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
-0.045,-0.55,-0.505,0.298,0.23,-0.527,0.185,0.24,0.09,0.12,0.095,0.085
-0.045,-0.55,-0.505,0.298,0.23,-0.527,0.181,0.24,0.09,0.12,0.095,0.085
-0.044,-0.55,-0.506,0.298,0.231,-0.527,0.18,0.24,0.089,0.12,0.095,0.085
-0.047,-0.55,-0.503,0.299,0.228,-0.526,0.18,0.24,0.092,0.12,0.095,0.085
-0.05,-0.549,-0.5,0.299,0.225,-0.524,0.18,0.24,0.095,0.12,0.095,0.085
-0.045,-0.545,-0.5,0.295,0.228,-0.522,0.18,0.24,0.095,0.12,0.095,0.085
-0.044,-0.545,-0.5,0.295,0.229,-0.522,0.18,0.24,0.095,0.12,0.095,0.085
-0.048,-0.545,-0.497,0.297,0.225,-0.521,0.18,0.239,0.095,0.12,0.095,0.085
-0.051,-0.545,-0.494,0.298,0.222,-0.52,0.18,0.242,0.095,0.12,0.095,0.085
-0.05,-0.545,-0.495,0.298,0.223,-0.52,0.18,0.245,0.095,0.12,0.095,0.085
-0.05,-0.545,-0.495,0.298,0.223,-0.52,0.18,0.245,0.095,0.12,0.095,0.085
-0.054,-0.545,-0.491,0.3,0.219,-0.518,0.18,0.245,0.095,0.12,0.095,0.085
-0.055,-0.545,-0.489,0.3,0.218,-0.517,0.18,0.245,0.095,0.12,0.094,0.085
-0.055,-0.546,-0.491,0.3,0.218,-0.518,0.179,0.245,0.094,0.119,0.097,0.084
-0.055,-0.544,-0.489,0.299,0.218,-0.516,0.181,0.245,0.087,0.112,0.1,0.079
-0.05,-0.535,-0.485,0.293,0.218,-0.51,0.19,0.245,0.085,0.11,0.1,0.08
-0.042,-0.527,-0.485,0.285,0.222,-0.506,0.194,0.245,0.115,0.14,0.104,0.097
-0.034,-0.519,-0.485,0.277,0.226,-0.502,0.198,0.248,0.12,0.145,0.106,0.099
-0.026,-0.511,-0.485,0.269,0.23,-0.498,0.2,0.251,0.113,0.139,0.104,0.094
-0.019,-0.503,-0.484,0.261,0.233,-0.494,0.201,0.25,0.116,0.139,0.106,0.095
-0.015,-0.495,-0.48,0.255,0.233,-0.487,0.205,0.25,0.115,0.135,0.11,0.095
-0.011,-0.487,-0.475,0.249,0.233,-0.481,0.205,0.25,0.111,0.135,0.11,0.095
-0.006,-0.481,-0.475,0.244,0.235,-0.478,0.208,0.25,0.11,0.132,0.11,0.095
-0.007,-0.48,-0.473,0.243,0.233,-0.476,0.211,0.25,0.11,0.129,0.11,0.094
-0.01,-0.48,-0.47,0.245,0.23,-0.475,0.21,0.25,0.111,0.131,0.11,0.096
-0.01,-0.48,-0.47,0.245,0.23,-0.475,0.21,0.25,0.115,0.135,0.11,0.1
-0.014,-0.48,-0.466,0.247,0.226,-0.473,0.214,0.249,0.114,0.138,0.117,0.099
-0.019,-0.48,-0.461,0.25,0.221,-0.47,0.215,0.257,0.122,0.151,0.128,0.11
-0.02,-0.48,-0.46,0.25,0.22,-0.47,0.216,0.26,0.138,0.168,0.142,0.13
-0.021,-0.48,-0.459,0.251,0.219,-0.47,0.214,0.253,0.145,0.175,0.15,0.141
-0.025,-0.48,-0.455,0.253,0.215,-0.467,0.205,0.25,0.14,0.17,0.145,0.135
-0.021,-0.476,-0.454,0.249,0.217,-0.465,0.196,0.25,0.136,0.166,0.141,0.131
-0.016,-0.475,-0.458,0.246,0.221,-0.466,0.192,0.247,0.132,0.162,0.137,0.127
-0.015,-0.475,-0.461,0.245,0.224,-0.467,0.187,0.245,0.13,0.158,0.135,0.123
-0.015,-0.475,-0.46,0.245,0.223,-0.467,0.178,0.244,0.129,0.155,0.134,0.12
-0.015,-0.475,-0.46,0.245,0.223,-0.467,0.17,0.24,0.125,0.155,0.13,0.12
-0.011,-0.475,-0.464,0.243,0.227,-0.47,0.166,0.24,0.121,0.151,0.126,0.116
-0.01,-0.475,-0.465,0.243,0.228,-0.47,0.159,0.238,0.12,0.147,0.125,0.112
-0.01,-0.475,-0.465,0.243,0.228,-0.47,0.153,0.232,0.119,0.143,0.124,0.108
-0.01,-0.474,-0.464,0.242,0.228,-0.469,0.148,0.23,0.114,0.139,0.119,0.104
-0.01,-0.47,-0.46,0.24,0.225,-0.465,0.14,0.23,0.11,0.135,0.115,0.1
-0.01,-0.47,-0.46,0.24,0.225,-0.465,0.136,0.226,0.111,0.135,0.115,0.1
-0.009,-0.47,-0.461,0.24,0.226,-0.465,0.129,0.225,0.104,0.132,0.112,0.097
-0.012,-0.47,-0.458,0.241,0.223,-0.464,0.123,0.223,0.097,0.128,0.108,0.093
-0.016,-0.47,-0.455,0.243,0.22,-0.462,0.119,0.22,0.094,0.124,0.104,0.089
-0.015,-0.47,-0.455,0.243,0.22,-0.462,0.115,0.22,0.09,0.12,0.1,0.085
-0.014,-0.47,-0.455,0.243,0.221,-0.462,0.115,0.212,0.086,0.116,0.096,0.081
-0.019,-0.471,-0.452,0.245,0.217,-0.461,0.115,0.207,0.082,0.112,0.092,0.076
-0.019,-0.468,-0.449,0.244,0.215,-0.459,0.115,0.201,0.078,0.108,0.088,0.075
-0.023,-0.473,-0.45,0.248,0.214,-0.462,0.115,0.194,0.074,0.104,0.084,0.074
-0.04,-0.49,-0.45,0.265,0.205,-0.47,0.115,0.19,0.07,0.1,0.08,0.07
-0.042,-0.491,-0.45,0.267,0.204,-0.471,0.115,0.182,0.07,0.1,0.08,0.07
-0.036,-0.487,-0.451,0.262,0.207,-0.469,0.116,0.177,0.07,0.101,0.077,0.071
-0.052,-0.499,-0.447,0.276,0.198,-0.473,0.113,0.173,0.07,0.098,0.074,0.068
-0.062,-0.518,-0.456,0.29,0.197,-0.486,0.11,0.17,0.07,0.095,0.075,0.065
-0.035,-0.52,-0.485,0.278,0.225,-0.502,0.11,0.17,0.07,0.095,0.075,0.065
-0.037,-0.519,-0.482,0.278,0.223,-0.501,0.11,0.166,0.066,0.095,0.071,0.065
-0.047,-0.526,-0.479,0.286,0.216,-0.502,0.11,0.164,0.065,0.092,0.069,0.062
-0.052,-0.533,-0.48,0.292,0.214,-0.506,0.11,0.166,0.065,0.089,0.071,0.059
-0.056,-0.536,-0.48,0.296,0.212,-0.508,0.11,0.164,0.065,0.09,0.069,0.06
-0.06,-0.54,-0.48,0.3,0.21,-0.51,0.11,0.16,0.065,0.09,0.065,0.06
-0.061,-0.54,-0.479,0.3,0.209,-0.51,0.11,0.16,0.065,0.086,0.065,0.056
-0.059,-0.543,-0.484,0.301,0.213,-0.513,0.107,0.157,0.066,0.084,0.066,0.054
-0.079,-0.545,-0.466,0.312,0.194,-0.505,0.104,0.154,0.063,0.086,0.063,0.056
-0.084,-0.546,-0.461,0.316,0.189,-0.503,0.105,0.155,0.06,0.084,0.06,0.054
-0.045,-0.55,-0.505,0.298,0.23,-0.527,0.105,0.155,0.06,0.08,0.06,0.05
-0.048,-0.551,-0.503,0.299,0.228,-0.527,0.105,0.151,0.06,0.08,0.056,0.05
-0.045,-0.544,-0.498,0.295,0.227,-0.521,0.105,0.15,0.06,0.081,0.054,0.051
-0.023,-0.523,-0.5,0.273,0.239,-0.511,0.105,0.148,0.06,0.078,0.056,0.048
-0.028,-0.528,-0.5,0.278,0.236,-0.514,0.105,0.144,0.059,0.075,0.054,0.045
-0.07,-0.57,-0.5,0.32,0.215,-0.535,0.105,0.145,0.055,0.075,0.05,0.045
-0.069,-0.565,-0.496,0.317,0.214,-0.53,0.103,0.146,0.055,0.075,0.05,0.045
-0.058,-0.552,-0.495,0.305,0.218,-0.523,0.117,0.142,0.055,0.072,0.051,0.042
-0.053,-0.548,-0.495,0.301,0.221,-0.521,0.127,0.14,0.055,0.069,0.048,0.04
-0.048,-0.543,-0.495,0.296,0.224,-0.519,0.125,0.14,0.055,0.07,0.045,0.04
-0.04,-0.535,-0.495,0.288,0.228,-0.515,0.125,0.14,0.055,0.07,0.045,0.04
-0.031,-0.527,-0.495,0.279,0.233,-0.511,0.125,0.144,0.054,0.07,0.045,0.041
-0.03,-0.522,-0.492,0.276,0.231,-0.507,0.125,0.148,0.059,0.073,0.045,0.034
-0.028,-0.518,-0.489,0.273,0.231,-0.503,0.125,0.154,0.058,0.075,0.045,0.027
-0.024,-0.515,-0.49,0.269,0.233,-0.502,0.124,0.18,0.065,0.075,0.045,0.024
-0.025,-0.515,-0.49,0.27,0.233,-0.502,0.125,0.225,0.09,0.075,0.045,0.02
-0.026,-0.515,-0.489,0.271,0.232,-0.502,0.143,0.267,0.103,0.074,0.045,0.012
-0.019,-0.512,-0.493,0.266,0.237,-0.503,0.173,0.367,0.147,0.081,0.045,0.007
-0.029,-0.508,-0.479,0.269,0.225,-0.494,0.223,0.487,0.213,0.104,0.044,0.001
-0.029,-0.512,-0.483,0.271,0.227,-0.497,0.267,0.59,0.292,0.14,0.047,0.004
0.02,-0.51,-0.53,0.245,0.275,-0.52,0.285,0.69,0.395,0.19,0.07,0.03
0.055,-0.462,-0.517,0.204,0.286,-0.49,0.314,0.764,0.499,0.269,0.12,0.048
0.074,-0.422,-0.496,0.174,0.285,-0.458,0.294,0.748,0.6,0.353,0.183,0.092
0.132,-0.351,-0.483,0.11,0.308,-0.417,0.263,0.66,0.699,0.472,0.282,0.18
0.202,-0.235,-0.437,0.017,0.32,-0.336,0.216,0.491,0.783,0.641,0.43,0.303
0.235,-0.09,-0.325,-0.072,0.28,-0.207,0.1,0.215,0.84,0.82,0.595,0.445
0.302,0.123,-0.179,-0.212,0.24,-0.028,-0.04,-0.112,0.877,0.967,0.756,0.599
0.365,0.31,-0.055,-0.338,0.21,0.127,-0.213,-0.514,0.874,1.13,0.942,0.77
0.412,0.486,0.074,-0.45,0.169,0.28,-0.375,-0.907,0.858,1.294,1.117,0.932
0.429,0.651,0.221,-0.541,0.103,0.436,-0.499,-1.214,0.847,1.432,1.259,1.067
0.39,0.785,0.395,-0.588,-0.003,0.59,-0.595,-1.455,0.835,1.565,1.405,1.2
0.317,0.944,0.627,-0.631,-0.155,0.785,-0.641,-1.66,0.826,1.713,1.562,1.345
0.295,0.978,0.682,-0.637,-0.194,0.829,-0.685,-1.777,0.783,1.732,1.584,1.359
0.252,0.833,0.582,-0.542,-0.166,0.707,-0.748,-1.789,0.664,1.581,1.458,1.255
0.148,0.63,0.481,-0.389,-0.167,0.555,-0.781,-1.751,0.492,1.337,1.265,1.113
0.055,0.49,0.435,-0.273,-0.19,0.462,-0.76,-1.725,0.33,1.095,1.075,0.97
-0.012,0.372,0.384,-0.18,-0.198,0.378,-0.751,-1.704,0.142,0.861,0.905,0.84
-0.094,0.232,0.326,-0.069,-0.21,0.279,-0.71,-1.688,-0.222,0.531,0.674,0.683
-0.198,0.08,0.278,0.059,-0.238,0.178,-0.653,-1.652,-0.62,0.174,0.426,0.509
-0.243,-0.038,0.205,0.141,-0.224,0.083,-0.61,-1.56,-0.789,-0.034,0.252,0.373
-0.19,-0.11,0.08,0.15,-0.135,-0.015,-0.575,-1.395,-0.7,-0.06,0.17,0.295
-0.172,-0.199,-0.027,0.185,-0.072,-0.113,-0.542,-1.19,-0.636,-0.099,0.111,0.221
-0.188,-0.302,-0.113,0.246,-0.037,-0.208,-0.481,-1.004,-0.584,-0.132,0.047,0.165
-0.146,-0.343,-0.197,0.245,0.026,-0.27,-0.395,-0.82,-0.496,-0.129,0.018,0.111
-0.109,-0.354,-0.244,0.231,0.068,-0.298,-0.302,-0.63,-0.398,-0.111,0.02,0.068
-0.165,-0.405,-0.24,0.285,0.038,-0.322,-0.225,-0.475,-0.33,-0.1,0.015,0.06
-0.148,-0.412,-0.264,0.28,0.058,-0.338,-0.176,-0.363,-0.27,-0.084,0.011,0.053
-0.132,-0.409,-0.277,0.271,0.072,-0.342,-0.131,-0.276,-0.207,-0.071,0.007,0.041
-0.137,-0.41,-0.273,0.274,0.068,-0.341,-0.093,-0.195,-0.16,-0.059,0.003,0.031
-0.123,-0.41,-0.287,0.266,0.082,-0.349,-0.062,-0.124,-0.126,-0.047,-0.001,0.022
-0.09,-0.41,-0.32,0.25,0.115,-0.365,-0.03,-0.065,-0.09,-0.035,-0.005,0.01
-0.088,-0.41,-0.322,0.249,0.117,-0.366,-0.002,-0.007,-0.069,-0.023,-0.001,0.001
-0.095,-0.413,-0.318,0.254,0.112,-0.365,0.026,0.033,-0.05,-0.013,0.001,0.002
-0.09,-0.416,-0.325,0.253,0.118,-0.37,0.054,0.069,-0.033,-0.008,0.0,0.007
-0.077,-0.415,-0.338,0.247,0.131,-0.376,0.073,0.102,-0.023,-0.004,0.0,0.011
-0.07,-0.415,-0.345,0.243,0.138,-0.38,0.075,0.12,-0.015,0.0,0.0,0.015
-0.066,-0.416,-0.35,0.241,0.142,-0.382,0.074,0.129,-0.007,0.004,0.0,0.016
-0.063,-0.411,-0.348,0.237,0.143,-0.379,0.078,0.133,0.001,0.005,0.003,0.012
-0.071,-0.428,-0.357,0.25,0.143,-0.392,0.08,0.139,0.009,0.006,0.006,0.009
-0.081,-0.454,-0.373,0.267,0.146,-0.413,0.081,0.147,0.017,0.011,0.005,0.01
-0.075,-0.455,-0.38,0.265,0.153,-0.417,0.09,0.155,0.025,0.015,0.005,0.01
-0.07,-0.455,-0.385,0.263,0.158,-0.42,0.094,0.163,0.029,0.015,0.005,0.01
-0.073,-0.455,-0.382,0.264,0.155,-0.418,0.098,0.168,0.03,0.017,0.005,0.01
-0.075,-0.455,-0.38,0.265,0.153,-0.417,0.102,0.172,0.03,0.022,0.005,0.01
-0.075,-0.455,-0.379,0.265,0.152,-0.417,0.106,0.176,0.031,0.025,0.006,0.01
-0.08,-0.455,-0.375,0.268,0.148,-0.415,0.11,0.18,0.035,0.025,0.01,0.01
-0.085,-0.459,-0.375,0.272,0.145,-0.417,0.11,0.184,0.036,0.025,0.01,0.01
-0.085,-0.46,-0.376,0.273,0.145,-0.417,0.11,0.188,0.033,0.025,0.01,0.01
-0.087,-0.46,-0.373,0.274,0.143,-0.416,0.11,0.192,0.042,0.025,0.01,0.01
-0.09,-0.46,-0.37,0.275,0.14,-0.415,0.11,0.195,0.058,0.025,0.01,0.01
-0.09,-0.46,-0.37,0.275,0.14,-0.415,0.11,0.195,0.06,0.025,0.01,0.01
-0.09,-0.46,-0.37,0.275,0.14,-0.415,0.11,0.199,0.06,0.025,0.014,0.006
-0.09,-0.457,-0.367,0.274,0.139,-0.412,0.11,0.2,0.06,0.024,0.015,0.005
-0.091,-0.455,-0.364,0.273,0.137,-0.41,0.11,0.202,0.06,0.027,0.015,0.005
-0.089,-0.454,-0.365,0.272,0.139,-0.41,0.11,0.205,0.06,0.03,0.015,0.005
-0.085,-0.45,-0.365,0.268,0.14,-0.407,0.11,0.205,0.06,0.03,0.015,0.005
-0.09,-0.45,-0.361,0.27,0.136,-0.405,0.11,0.209,0.06,0.034,0.015,0.005
-0.087,-0.447,-0.36,0.267,0.137,-0.403,0.11,0.21,0.06,0.035,0.016,0.005
-0.086,-0.445,-0.359,0.266,0.137,-0.401,0.11,0.21,0.06,0.035,0.013,0.005
-0.081,-0.444,-0.363,0.263,0.141,-0.403,0.11,0.21,0.06,0.035,0.01,0.005
-0.06,-0.435,-0.375,0.248,0.158,-0.405,0.11,0.21,0.06,0.035,0.01,0.005
-0.055,-0.427,-0.372,0.241,0.159,-0.399,0.11,0.21,0.06,0.035,0.01,0.005
-0.053,-0.419,-0.367,0.236,0.158,-0.393,0.11,0.21,0.06,0.035,0.01,0.005
-0.048,-0.411,-0.363,0.23,0.158,-0.387,0.11,0.21,0.06,0.035,0.01,0.005
-0.044,-0.403,-0.359,0.224,0.158,-0.381,0.11,0.211,0.06,0.035,0.01,0.006
-0.04,-0.395,-0.355,0.218,0.158,-0.375,0.11,0.215,0.06,0.035,0.01,0.01
-0.034,-0.385,-0.351,0.21,0.159,-0.367,0.11,0.215,0.06,0.035,0.01,0.01
-0.044,-0.395,-0.35,0.219,0.153,-0.372,0.11,0.215,0.06,0.038,0.007,0.009
-0.05,-0.398,-0.348,0.225,0.149,-0.373,0.11,0.215,0.06,0.041,0.004,0.012
-0.043,-0.388,-0.345,0.216,0.151,-0.366,0.11,0.215,0.06,0.04,0.005,0.015
-0.04,-0.385,-0.345,0.213,0.153,-0.365,0.11,0.215,0.06,0.04,0.005,0.015
-0.041,-0.382,-0.341,0.211,0.15,-0.361,0.11,0.215,0.06,0.04,0.005,0.015
-0.034,-0.374,-0.34,0.204,0.153,-0.357,0.11,0.215,0.063,0.04,0.005,0.014
-0.029,-0.368,-0.338,0.199,0.155,-0.353,0.11,0.217,0.067,0.04,0.005,0.017
-0.029,-0.364,-0.335,0.197,0.153,-0.349,0.111,0.221,0.071,0.04,0.005,0.02
-0.025,-0.36,-0.335,0.193,0.155,-0.347,0.115,0.225,0.075,0.04,0.005,0.02
-0.026,-0.356,-0.331,0.191,0.153,-0.343,0.115,0.229,0.076,0.04,0.009,0.02
-0.022,-0.352,-0.33,0.187,0.155,-0.34,0.115,0.232,0.073,0.039,0.01,0.02
-0.037,-0.365,-0.328,0.202,0.146,-0.346,0.115,0.239,0.083,0.043,0.012,0.022
-0.056,-0.381,-0.325,0.219,0.134,-0.352,0.115,0.246,0.097,0.052,0.015,0.025
-0.045,-0.37,-0.325,0.208,0.14,-0.347,0.115,0.25,0.095,0.055,0.015,0.025
-0.045,-0.362,-0.317,0.204,0.136,-0.339,0.115,0.254,0.095,0.055,0.019,0.025
-0.043,-0.354,-0.311,0.199,0.134,-0.333,0.115,0.255,0.095,0.055,0.02,0.028
-0.037,-0.346,-0.309,0.192,0.136,-0.327,0.115,0.255,0.095,0.055,0.022,0.03
-0.035,-0.338,-0.303,0.187,0.134,-0.32,0.115,0.255,0.095,0.055,0.026,0.03
-0.035,-0.33,-0.295,0.183,0.13,-0.312,0.115,0.255,0.095,0.055,0.025,0.03
-0.035,-0.326,-0.291,0.18,0.128,-0.308,0.115,0.255,0.095,0.055,0.025,0.03
-0.035,-0.322,-0.287,0.179,0.126,-0.304,0.115,0.254,0.097,0.058,0.028,0.033
-0.035,-0.318,-0.283,0.177,0.124,-0.3,0.115,0.258,0.103,0.06,0.031,0.036
-0.035,-0.315,-0.28,0.175,0.123,-0.297,0.115,0.259,0.105,0.061,0.03,0.035
-0.035,-0.315,-0.28,0.175,0.123,-0.297,0.115,0.26,0.105,0.065,0.03,0.035
-0.035,-0.311,-0.276,0.173,0.12,-0.293,0.115,0.285,0.121,0.065,0.034,0.035
-0.035,-0.31,-0.275,0.173,0.12,-0.292,0.115,0.29,0.129,0.068,0.035,0.038
-0.035,-0.309,-0.273,0.172,0.119,-0.29,0.115,0.282,0.131,0.069,0.037,0.041
-0.034,-0.304,-0.269,0.169,0.118,-0.286,0.115,0.288,0.136,0.072,0.04,0.04
-0.03,-0.3,-0.27,0.165,0.12,-0.285,0.115,0.3,0.14,0.085,0.04,0.04
-0.03,-0.3,-0.271,0.165,0.12,-0.285,0.115,0.304,0.141,0.09,0.044,0.04
-0.03,-0.297,-0.267,0.164,0.119,-0.282,0.115,0.308,0.138,0.091,0.045,0.04
-0.031,-0.296,-0.265,0.164,0.118,-0.28,0.115,0.313,0.147,0.088,0.047,0.039
-0.029,-0.293,-0.264,0.161,0.118,-0.279,0.115,0.315,0.163,0.093,0.05,0.042
-0.02,-0.28,-0.26,0.15,0.12,-0.27,0.115,0.32,0.17,0.11,0.05,0.05
-0.012,-0.272,-0.26,0.142,0.124,-0.266,0.115,0.338,0.174,0.111,0.05,0.054
-0.004,-0.261,-0.257,0.133,0.127,-0.259,0.112,0.335,0.181,0.108,0.048,0.061
0.003,-0.251,-0.254,0.124,0.129,-0.253,0.107,0.345,0.187,0.116,0.059,0.067
0.013,-0.242,-0.256,0.115,0.135,-0.249,0.105,0.368,0.192,0.127,0.079,0.071
0.025,-0.23,-0.255,0.103,0.14,-0.242,0.105,0.37,0.2,0.13,0.085,0.075
0.021,-0.222,-0.243,0.101,0.132,-0.233,0.101,0.374,0.204,0.134,0.089,0.075
0.022,-0.211,-0.233,0.095,0.128,-0.222,0.096,0.377,0.207,0.14,0.093,0.078
0.028,-0.199,-0.227,0.086,0.128,-0.212,0.095,0.384,0.214,0.15,0.097,0.08
0.03,-0.187,-0.217,0.079,0.124,-0.202,0.094,0.391,0.221,0.156,0.101,0.081
0.03,-0.175,-0.205,0.073,0.118,-0.19,0.09,0.395,0.23,0.16,0.105,0.09
