I,II,III,aVR,aVL,aVF
-0.044,-0.403,-0.359,0.224,0.158,-0.381
-0.04,-0.395,-0.355,0.218,0.158,-0.375
-0.034,-0.385,-0.351,0.21,0.159,-0.367
-0.044,-0.395,-0.35,0.219,0.153,-0.372
-0.05,-0.398,-0.348,0.225,0.149,-0.373
-0.043,-0.388,-0.345,0.216,0.151,-0.366
-0.04,-0.385,-0.345,0.213,0.153,-0.365
-0.041,-0.382,-0.341,0.211,0.15,-0.361
-0.034,-0.374,-0.34,0.204,0.153,-0.357
-0.029,-0.368,-0.338,0.199,0.155,-0.353
-0.029,-0.364,-0.335,0.197,0.153,-0.349
-0.025,-0.36,-0.335,0.193,0.155,-0.347
-0.026,-0.356,-0.331,0.191,0.153,-0.343
-0.022,-0.352,-0.33,0.187,0.155,-0.34
-0.037,-0.365,-0.328,0.202,0.146,-0.346
-0.056,-0.381,-0.325,0.219,0.134,-0.352
-0.045,-0.37,-0.325,0.208,0.14,-0.347
-0.045,-0.362,-0.317,0.204,0.136,-0.339
-0.043,-0.354,-0.311,0.199,0.134,-0.333
-0.037,-0.346,-0.309,0.192,0.136,-0.327
-0.035,-0.338,-0.303,0.187,0.134,-0.32
-0.035,-0.33,-0.295,0.183,0.13,-0.312
-0.035,-0.326,-0.291,0.18,0.128,-0.308
-0.035,-0.322,-0.287,0.179,0.126,-0.304
-0.035,-0.318,-0.283,0.177,0.124,-0.3
-0.035,-0.315,-0.28,0.175,0.123,-0.297
-0.035,-0.315,-0.28,0.175,0.123,-0.297
-0.035,-0.311,-0.276,0.173,0.12,-0.293
-0.035,-0.31,-0.275,0.173,0.12,-0.292
-0.035,-0.309,-0.273,0.172,0.119,-0.29
-0.034,-0.304,-0.269,0.169,0.118,-0.286
-0.03,-0.3,-0.27,0.165,0.12,-0.285
-0.03,-0.3,-0.271,0.165,0.12,-0.285
-0.03,-0.297,-0.267,0.164,0.119,-0.282
-0.031,-0.296,-0.265,0.164,0.118,-0.28
-0.029,-0.293,-0.264,0.161,0.118,-0.279
-0.02,-0.28,-0.26,0.15,0.12,-0.27
-0.012,-0.272,-0.26,0.142,0.124,-0.266
-0.004,-0.261,-0.257,0.133,0.127,-0.259
0.003,-0.251,-0.254,0.124,0.129,-0.253
0.013,-0.242,-0.256,0.115,0.135,-0.249
0.025,-0.23,-0.255,0.103,0.14,-0.242
0.021,-0.222,-0.243,0.101,0.132,-0.233
0.022,-0.211,-0.233,0.095,0.128,-0.222
0.028,-0.199,-0.227,0.086,0.128,-0.212
0.03,-0.187,-0.217,0.079,0.124,-0.202
0.03,-0.175,-0.205,0.073,0.118,-0.19
0.034,-0.163,-0.197,0.065,0.115,-0.179
0.038,-0.151,-0.189,0.057,0.114,-0.17
0.042,-0.139,-0.181,0.049,0.112,-0.16
0.046,-0.127,-0.173,0.041,0.11,-0.149
0.05,-0.115,-0.165,0.033,0.108,-0.14
0.05,-0.107,-0.157,0.029,0.104,-0.132
0.05,-0.099,-0.149,0.025,0.1,-0.124
0.05,-0.091,-0.141,0.021,0.096,-0.116
0.05,-0.083,-0.133,0.017,0.092,-0.108
0.05,-0.075,-0.125,0.013,0.088,-0.1
0.048,-0.069,-0.117,0.011,0.083,-0.093
0.067,-0.046,-0.112,-0.01,0.09,-0.079
0.09,-0.016,-0.106,-0.037,0.098,-0.061
0.102,0.003,-0.099,-0.053,0.1,-0.048
0.105,0.01,-0.095,-0.057,0.1,-0.042
0.1,0.014,-0.087,-0.056,0.093,-0.037
0.103,0.021,-0.082,-0.062,0.092,-0.03
0.104,0.027,-0.077,-0.065,0.09,-0.024
0.1,0.032,-0.068,-0.066,0.084,-0.018
0.1,0.04,-0.06,-0.07,0.08,-0.01
0.099,0.043,-0.056,-0.07,0.077,-0.007
0.11,0.06,-0.05,-0.084,0.079,0.005
0.115,0.075,-0.04,-0.095,0.078,0.017
0.117,0.083,-0.034,-0.1,0.075,0.024
0.13,0.1,-0.03,-0.115,0.08,0.035
0.13,0.105,-0.026,-0.117,0.078,0.04
0.131,0.106,-0.025,-0.118,0.077,0.041
0.127,0.102,-0.025,-0.114,0.076,0.038
0.136,0.111,-0.025,-0.123,0.08,0.043
0.155,0.13,-0.025,-0.142,0.09,0.052
0.132,0.106,-0.025,-0.118,0.078,0.04
0.153,0.131,-0.022,-0.142,0.087,0.055
0.172,0.153,-0.019,-0.163,0.096,0.067
0.156,0.136,-0.02,-0.146,0.088,0.058
0.15,0.13,-0.02,-0.14,0.085,0.055
0.146,0.126,-0.02,-0.136,0.083,0.053
0.14,0.12,-0.02,-0.13,0.079,0.049
0.131,0.11,-0.02,-0.12,0.075,0.045
0.133,0.104,-0.029,-0.118,0.08,0.038
0.145,0.1,-0.045,-0.122,0.095,0.027
0.134,0.088,-0.046,-0.111,0.09,0.021
0.121,0.076,-0.044,-0.098,0.082,0.015
0.109,0.063,-0.045,-0.085,0.077,0.009
0.098,0.053,-0.045,-0.075,0.071,0.005
0.09,0.045,-0.045,-0.067,0.067,0.0
0.076,0.018,-0.059,-0.047,0.067,-0.02
0.078,-0.01,-0.088,-0.034,0.083,-0.048
0.06,-0.028,-0.089,-0.016,0.074,-0.058
0.04,-0.045,-0.084,0.002,0.062,-0.064
0.055,-0.065,-0.12,0.005,0.088,-0.092
0.044,-0.082,-0.127,0.019,0.086,-0.104
0.035,-0.087,-0.122,0.027,0.079,-0.104
0.053,-0.082,-0.135,0.015,0.095,-0.109
0.062,-0.089,-0.151,0.014,0.107,-0.12
0.035,-0.11,-0.145,0.038,0.09,-0.127
0.031,-0.114,-0.145,0.042,0.088,-0.129
0.02,-0.123,-0.143,0.051,0.082,-0.133
0.0,-0.137,-0.136,0.068,0.068,-0.136
-0.001,-0.147,-0.146,0.074,0.073,-0.146
0.02,-0.155,-0.175,0.068,0.098,-0.165
0.012,-0.16,-0.172,0.074,0.092,-0.166
0.009,-0.16,-0.169,0.075,0.09,-0.164
-0.009,-0.177,-0.168,0.093,0.08,-0.173
-0.032,-0.197,-0.165,0.115,0.067,-0.181
-0.025,-0.19,-0.165,0.108,0.07,-0.177
-0.028,-0.19,-0.161,0.109,0.066,-0.175
-0.031,-0.19,-0.159,0.111,0.064,-0.174
-0.027,-0.191,-0.163,0.109,0.068,-0.177
-0.016,-0.188,-0.172,0.102,0.078,-0.18
-0.015,-0.19,-0.175,0.103,0.08,-0.182
-0.05,-0.223,-0.173,0.137,0.061,-0.197
-0.046,-0.237,-0.191,0.141,0.073,-0.213
-0.034,-0.234,-0.201,0.134,0.084,-0.217
-0.041,-0.235,-0.194,0.139,0.077,-0.215
-0.04,-0.235,-0.195,0.138,0.078,-0.215
-0.04,-0.235,-0.195,0.138,0.078,-0.215
-0.04,-0.235,-0.195,0.138,0.078,-0.215
-0.04,-0.235,-0.195,0.138,0.078,-0.215
-0.041,-0.235,-0.194,0.138,0.077,-0.214
-0.045,-0.235,-0.19,0.14,0.073,-0.212
-0.045,-0.235,-0.19,0.14,0.073,-0.212
-0.045,-0.235,-0.19,0.14,0.073,-0.212
-0.045,-0.235,-0.191,0.14,0.074,-0.213
-0.045,-0.234,-0.189,0.14,0.072,-0.211
-0.04,-0.23,-0.19,0.135,0.075,-0.21
-0.014,-0.23,-0.215,0.122,0.101,-0.223
-0.011,-0.23,-0.22,0.121,0.104,-0.224
-0.017,-0.23,-0.213,0.124,0.098,-0.221
-0.014,-0.23,-0.216,0.123,0.101,-0.222
-0.015,-0.23,-0.215,0.123,0.1,-0.222
-0.02,-0.231,-0.211,0.126,0.095,-0.221
-0.013,-0.223,-0.209,0.118,0.098,-0.216
-0.028,-0.239,-0.211,0.133,0.092,-0.224
-0.053,-0.262,-0.209,0.157,0.078,-0.235
-0.045,-0.25,-0.205,0.148,0.08,-0.227
-0.041,-0.245,-0.205,0.144,0.082,-0.225
-0.037,-0.242,-0.206,0.14,0.085,-0.224
-0.035,-0.238,-0.203,0.137,0.084,-0.22
-0.035,-0.234,-0.2,0.134,0.083,-0.216
-0.03,-0.23,-0.2,0.13,0.085,-0.215
-0.025,-0.225,-0.2,0.125,0.088,-0.212
-0.031,-0.228,-0.197,0.13,0.083,-0.212
-0.036,-0.23,-0.194,0.134,0.079,-0.212
-0.036,-0.231,-0.195,0.134,0.08,-0.213
-0.04,-0.235,-0.195,0.138,0.078,-0.215
-0.04,-0.235,-0.195,0.138,0.078,-0.215
-0.042,-0.238,-0.196,0.141,0.077,-0.217
-0.048,-0.24,-0.192,0.144,0.072,-0.215
-0.04,-0.241,-0.202,0.141,0.081,-0.221
-0.015,-0.25,-0.235,0.133,0.11,-0.242
-0.017,-0.253,-0.237,0.136,0.11,-0.245
-0.03,-0.264,-0.234,0.147,0.102,-0.249
-0.038,-0.273,-0.235,0.156,0.099,-0.254
-0.04,-0.275,-0.235,0.158,0.098,-0.255
-0.04,-0.275,-0.235,0.158,0.098,-0.255
-0.04,-0.275,-0.235,0.158,0.098,-0.255
-0.039,-0.274,-0.235,0.157,0.098,-0.255
-0.042,-0.277,-0.235,0.16,0.097,-0.256
-0.045,-0.28,-0.235,0.163,0.095,-0.257
-0.045,-0.28,-0.235,0.163,0.095,-0.257
-0.045,-0.28,-0.235,0.163,0.095,-0.257
-0.045,-0.28,-0.235,0.163,0.095,-0.257
-0.045,-0.28,-0.235,0.163,0.095,-0.257
-0.046,-0.281,-0.235,0.164,0.095,-0.258
-0.05,-0.285,-0.235,0.168,0.093,-0.26
-0.051,-0.285,-0.235,0.168,0.092,-0.26
-0.048,-0.285,-0.237,0.167,0.095,-0.261
-0.057,-0.285,-0.228,0.171,0.086,-0.257
-0.055,-0.285,-0.23,0.171,0.088,-0.257
-0.025,-0.285,-0.26,0.155,0.118,-0.272
-0.019,-0.281,-0.262,0.15,0.121,-0.271
-0.021,-0.28,-0.259,0.15,0.119,-0.269
-0.019,-0.28,-0.261,0.15,0.121,-0.27
-0.021,-0.28,-0.259,0.15,0.119,-0.269
-0.02,-0.28,-0.26,0.15,0.12,-0.27
-0.003,-0.28,-0.277,0.142,0.137,-0.279
0.002,-0.277,-0.279,0.138,0.14,-0.278
-0.001,-0.274,-0.274,0.138,0.137,-0.274
0.0,-0.275,-0.275,0.138,0.138,-0.275
0.0,-0.275,-0.275,0.138,0.138,-0.275
-0.001,-0.275,-0.275,0.139,0.138,-0.275
0.003,-0.273,-0.276,0.136,0.14,-0.274
-0.01,-0.283,-0.273,0.147,0.132,-0.278
-0.027,-0.296,-0.27,0.161,0.122,-0.282
-0.02,-0.29,-0.27,0.155,0.125,-0.28
-0.017,-0.287,-0.27,0.152,0.126,-0.278
-0.037,-0.308,-0.271,0.173,0.117,-0.29
-0.058,-0.325,-0.267,0.192,0.105,-0.296
-0.049,-0.325,-0.276,0.187,0.114,-0.3
-0.02,-0.325,-0.305,0.173,0.143,-0.315
-0.022,-0.325,-0.302,0.174,0.141,-0.313
-0.029,-0.328,-0.299,0.179,0.135,-0.313
-0.03,-0.331,-0.3,0.181,0.135,-0.316
-0.03,-0.33,-0.3,0.18,0.135,-0.315
-0.03,-0.33,-0.3,0.18,0.135,-0.315
-0.038,-0.334,-0.296,0.187,0.129,-0.315
-0.041,-0.335,-0.295,0.189,0.127,-0.315
-0.04,-0.335,-0.295,0.188,0.128,-0.315
-0.04,-0.335,-0.295,0.188,0.128,-0.315
-0.04,-0.335,-0.295,0.188,0.128,-0.315
-0.04,-0.331,-0.291,0.185,0.126,-0.311
-0.04,-0.33,-0.29,0.185,0.125,-0.31
-0.04,-0.33,-0.29,0.185,0.125,-0.31
-0.04,-0.33,-0.29,0.185,0.125,-0.31
-0.04,-0.33,-0.29,0.185,0.125,-0.31
-0.04,-0.33,-0.29,0.185,0.125,-0.31
-0.043,-0.33,-0.287,0.187,0.122,-0.308
-0.046,-0.33,-0.284,0.188,0.119,-0.307
-0.045,-0.33,-0.285,0.188,0.12,-0.307
-0.045,-0.33,-0.285,0.188,0.12,-0.307
-0.045,-0.33,-0.285,0.188,0.12,-0.307
-0.048,-0.33,-0.282,0.189,0.117,-0.306
-0.051,-0.33,-0.279,0.19,0.114,-0.305
-0.05,-0.33,-0.28,0.19,0.115,-0.305
-0.05,-0.33,-0.28,0.19,0.115,-0.305
-0.05,-0.33,-0.28,0.19,0.115,-0.305
-0.05,-0.33,-0.28,0.19,0.115,-0.305
-0.048,-0.33,-0.282,0.189,0.117,-0.306
-0.035,-0.33,-0.295,0.182,0.13,-0.313
-0.015,-0.33,-0.315,0.173,0.15,-0.322
-0.018,-0.33,-0.312,0.174,0.147,-0.321
-0.02,-0.33,-0.31,0.175,0.145,-0.32
-0.022,-0.33,-0.308,0.176,0.143,-0.319
-0.025,-0.33,-0.305,0.178,0.14,-0.317
-0.025,-0.33,-0.305,0.178,0.14,-0.317
-0.029,-0.33,-0.301,0.18,0.136,-0.315
-0.031,-0.331,-0.3,0.18,0.135,-0.315
-0.03,-0.328,-0.299,0.179,0.135,-0.313
-0.031,-0.325,-0.294,0.178,0.132,-0.309
-0.035,-0.325,-0.29,0.18,0.128,-0.307
-0.04,-0.325,-0.286,0.183,0.123,-0.305
-0.037,-0.322,-0.285,0.18,0.124,-0.303
-0.036,-0.319,-0.284,0.178,0.124,-0.301
-0.042,-0.32,-0.279,0.181,0.119,-0.299
-0.045,-0.32,-0.275,0.183,0.115,-0.297
-0.041,-0.316,-0.275,0.179,0.118,-0.295
-0.042,-0.315,-0.273,0.178,0.116,-0.293
-0.048,-0.315,-0.267,0.181,0.11,-0.291
-0.05,-0.315,-0.265,0.183,0.108,-0.29
-0.05,-0.315,-0.265,0.183,0.108,-0.29
-0.05,-0.311,-0.261,0.18,0.106,-0.286
-0.05,-0.31,-0.259,0.18,0.105,-0.284
-0.049,-0.31,-0.261,0.18,0.106,-0.285
-0.051,-0.31,-0.259,0.181,0.104,-0.285
-0.055,-0.31,-0.255,0.183,0.1,-0.282
-0.051,-0.306,-0.255,0.179,0.102,-0.28
-0.05,-0.305,-0.255,0.178,0.103,-0.28
-0.05,-0.305,-0.255,0.178,0.103,-0.28
-0.051,-0.305,-0.254,0.178,0.102,-0.279
-0.055,-0.305,-0.25,0.18,0.098,-0.277
-0.056,-0.305,-0.25,0.181,0.098,-0.277
-0.052,-0.302,-0.25,0.177,0.099,-0.276
-0.049,-0.299,-0.25,0.174,0.101,-0.275
-0.051,-0.3,-0.249,0.176,0.099,-0.275
-0.055,-0.3,-0.245,0.178,0.095,-0.272
-0.056,-0.3,-0.245,0.179,0.094,-0.272
-0.051,-0.297,-0.246,0.175,0.098,-0.271
-0.051,-0.294,-0.243,0.173,0.096,-0.269
-0.056,-0.295,-0.24,0.175,0.093,-0.267
-0.055,-0.295,-0.24,0.175,0.093,-0.267
-0.055,-0.295,-0.24,0.175,0.093,-0.267
-0.055,-0.296,-0.241,0.175,0.093,-0.268
-0.055,-0.293,-0.238,0.174,0.092,-0.265
-0.055,-0.29,-0.235,0.173,0.09,-0.262
-0.055,-0.29,-0.235,0.173,0.09,-0.262
-0.055,-0.29,-0.235,0.173,0.09,-0.262
-0.054,-0.29,-0.236,0.172,0.091,-0.262
-0.059,-0.29,-0.232,0.175,0.086,-0.26
-0.066,-0.289,-0.223,0.178,0.079,-0.256
-0.065,-0.285,-0.22,0.175,0.078,-0.252
-0.069,-0.285,-0.216,0.177,0.074,-0.25
-0.073,-0.285,-0.212,0.179,0.07,-0.248
-0.076,-0.285,-0.208,0.181,0.066,-0.246
-0.082,-0.286,-0.204,0.184,0.061,-0.245
-0.085,-0.285,-0.2,0.185,0.058,-0.242
-0.066,-0.27,-0.204,0.168,0.07,-0.237
-0.047,-0.253,-0.205,0.151,0.08,-0.229
